MWP,GLON,GLAT,Disp,MajAxis,MinAxis,Reff,e_Reff,theta,e_theta,Ecc,HR2,HR3,RelFlag,HierFlag,IDDR1,IDA14,Dist,IDCW,Simbad,_RA.icrs,_DE.icrs,rank
2G3364647+0003264,336.4648,0.0326,0.24,1.19,0.75,1.0,0.15,59,40,0.78,0.08,0.12,R,,1G336457+000318,G336.455+00.042,11.4,,Simbad,248.2936,-47.8685,3
2G3026034-0081909,302.6035,-0.8191,1.37,4.92,3.7,4.35,1.0,59,79,0.66,0.11,0.13,R,,1G302597-007907,G302.614-00.756,,,Simbad,192.1186,-63.689,3
2G0552668+0025000,55.2668,0.25,0.28,1.34,1.27,1.3,0.33,26,115,0.31,0.46,0.31,R,,1G055267+002505,G055.268+00.250,,N120,Simbad,293.2375,19.889,3
2G3330387-0043347,333.0387,-0.4335,0.35,1.39,1.2,1.3,0.2,29,97,0.5,0.14,0.11,R,,,,,,Simbad,245.1564,-50.6556,3
2G0194075+0012237,19.4076,0.1224,0.04,0.2,0.13,0.17,0.04,21,107,0.76,,0.21,C,,,,,,Simbad,276.4898,-11.9558,3
2G3406367+0036334,340.6367,0.3633,0.16,1.44,1.33,1.39,0.09,176,65,0.39,,0.15,C,,1G340634+003620,G340.628+00.357,,,Simbad,251.9337,-44.5257,3
2G0162421+0003926,16.2422,0.0393,0.23,0.63,0.54,0.59,0.11,2,74,0.52,,0.26,C,,1G016244+000407,G016.243+00.039,,,Simbad,275.0389,-14.7903,3
2G0090333-0014410,9.0333,-0.1441,0.45,4.18,3.95,4.07,0.34,172,74,0.33,,0.13,C,,1G009043-001432,G009.035-00.144,,,Simbad,271.5714,-21.2045,3
2G0139995-0020308,13.9996,-0.2031,0.71,1.6,1.07,1.36,0.42,163,62,0.75,,0.18,C,,1G014001-002048,G014.000-00.206,,,Simbad,274.1567,-16.8802,3
2G3167741-0006516,316.7741,-0.0652,1.26,2.35,1.49,1.96,0.6,52,66,0.77,,0.17,C,,1G316758-000613,G316.796-00.056,2.5,S111,Simbad,221.3003,-59.8439,3
2G0530951+0024920,53.0951,0.2492,0.59,1.23,0.97,1.11,0.32,32,86,0.61,,0.13,C,,,,,,Simbad,292.1348,17.9842,3
2G0327787-0012570,32.7788,-0.1257,0.06,0.35,0.23,0.29,0.04,49,31,0.74,,0.16,C,,,G032.779-00.126,,,Simbad,282.9015,-0.1936,3
2G0120682-0002744,12.0683,-0.0274,0.11,0.88,0.69,0.79,0.11,168,66,0.63,,0.13,C,,1G012068-000239,G012.067-00.028,,,Simbad,273.0258,-18.4926,3
2G0506282+0028866,50.6283,0.2887,0.4,1.39,0.76,1.12,0.31,145,135,0.84,0.17,0.24,R,,1G050623+002820,G050.623+00.281,,,Simbad,290.8731,15.8325,3
2G3373145-0020488,337.3146,-0.2049,0.12,0.23,0.19,0.21,0.05,39,116,0.59,0.18,0.15,R,,,G337.314-00.205,,,Simbad,249.405,-47.4019,3
2G3498863+0013262,349.8864,0.1326,0.43,2.22,1.32,1.83,0.2,100,57,0.81,,0.19,C,,1G349889+001407,G349.894+00.145,,,Simbad,259.6543,-37.3318,3
